Seq,ID,Gender,Monetary,Recency,Frq,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,RelatedPurchase
2624,21773,0,117,22,3,36,0,0,2,0,0,1,0,0,0,0,0,1
2006,16629,1,20,12,1,12,0,0,0,0,0,0,0,1,0,0,1,1
2259,18596,0,143,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0
1276,10700,0,116,14,2,20,1,0,1,0,0,0,0,1,0,0,0,1
2118,17489,1,212,10,6,22,1,0,0,0,2,0,1,0,0,0,0,1
443,3984,1,356,12,4,26,0,1,2,0,0,0,0,0,0,0,0,0
2737,22668,1,126,14,6,30,1,1,1,0,1,0,0,0,0,1,0,1
2928,24181,1,232,16,4,34,0,0,2,0,2,0,2,0,0,0,0,2
2630,21846,0,185,14,2,22,1,1,0,0,0,1,2,0,0,0,0,3
820,6911,1,59,16,1,16,0,0,0,1,0,0,0,0,0,0,1,0
3205,26418,1,78,8,3,20,0,0,1,0,0,1,0,0,0,0,0,1
1058,8774,1,192,18,4,36,0,0,3,0,1,0,0,0,0,0,0,0
3500,29059,1,121,4,7,42,0,0,2,0,0,1,0,0,0,0,0,1
2683,22250,1,228,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
595,5383,0,175,16,2,20,1,0,0,1,0,0,0,0,0,0,0,0
1696,14001,1,94,14,2,22,1,0,0,0,0,0,0,0,0,0,0,0
1075,9013,0,104,14,2,16,0,0,2,0,0,0,0,0,0,0,0,0
1668,13780,1,108,8,2,14,0,1,0,0,0,1,0,0,0,0,0,1
82,649,1,138,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0
399,3609,1,243,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
954,7874,1,69,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0
228,1984,1,239,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2694,22335,0,142,10,4,26,0,0,1,1,0,0,0,0,0,0,0,0
